"date","Freq","Month","counttav"
2016-09-17,53,"2016-09",51.2666666666667
2016-09-18,51,"2016-09",51.2666666666667
2016-09-19,50,"2016-09",51.2666666666667
2016-09-20,53,"2016-09",51.2666666666667
2016-09-21,46,"2016-09",51.2666666666667
2016-09-22,57,"2016-09",51.2666666666667
2016-09-23,48,"2016-09",51.2666666666667
2016-09-24,51,"2016-09",51.2666666666667
2016-09-25,47,"2016-09",51.2666666666667
2016-09-26,51,"2016-09",51.2666666666667
2016-09-27,50,"2016-09",51.2666666666667
2016-09-28,48,"2016-09",51.2666666666667
2016-09-29,48,"2016-09",51.2666666666667
2016-09-30,56,"2016-09",51.2666666666667
2016-10-01,50,"2016-10",49.3448275862069
2016-10-02,44,"2016-10",49.3448275862069
2016-10-03,54,"2016-10",49.3448275862069
2016-10-04,46,"2016-10",49.3448275862069
2016-10-05,49,"2016-10",49.3448275862069
2016-10-06,47,"2016-10",49.3448275862069
2016-10-07,53,"2016-10",49.3448275862069
2016-10-08,50,"2016-10",49.3448275862069
2016-10-09,51,"2016-10",49.3448275862069
2016-10-10,51,"2016-10",49.3448275862069
2016-10-11,48,"2016-10",49.3448275862069
2016-10-12,51,"2016-10",49.3448275862069
2016-10-13,52,"2016-10",49.3448275862069
2016-10-14,48,"2016-10",49.3448275862069
2016-10-15,48,"2016-10",49.3448275862069
2016-10-16,45,"2016-10",49.3448275862069
2016-10-17,56,"2016-10",49.3448275862069
2016-10-18,55,"2016-10",49.3448275862069
2016-10-19,52,"2016-10",49.3448275862069
2016-10-20,50,"2016-10",49.3448275862069
2016-10-21,55,"2016-10",49.3448275862069
2016-10-22,49,"2016-10",49.3448275862069
2016-10-23,46,"2016-10",49.3448275862069
2016-10-24,48,"2016-10",49.3448275862069
2016-10-25,44,"2016-10",49.3448275862069
2016-10-26,47,"2016-10",49.3448275862069
2016-10-27,46,"2016-10",49.3448275862069
2016-10-28,49,"2016-10",49.3448275862069
2016-10-29,47,"2016-10",49.3448275862069
